 ,launch,nationalities,manufacturers,id
Satellite,5eb87cd9ffd86e000604b32a,United States,SSTL,5eb0e4b5b6c3bb0006eeb1e1
Satellite,5eb87cdaffd86e000604b32b,United States,SpaceX,5eb0e4b6b6c3bb0006eeb1e2
Satellite,5eb87cdbffd86e000604b32c,United States,Space Dev,5eb0e4b6b6c3bb0006eeb1e3
Satellite,5eb87cdbffd86e000604b32c,United States,,5eb0e4b6b6c3bb0006eeb1e4
Satellite,5eb87cdbffd86e000604b32d,United States,SpaceX,5eb0e4b7b6c3bb0006eeb1e5
Satellite,5eb87cdcffd86e000604b32e,Malaysia,Satrec,5eb0e4b7b6c3bb0006eeb1e6
Dragon Boilerplate,5eb87cddffd86e000604b32f,United States,SpaceX,5eb0e4b7b6c3bb0006eeb1e7
Dragon 1.0,5eb87cdeffd86e000604b330,United States,SpaceX,5eb0e4b9b6c3bb0006eeb1e8
Satellite,5eb87cdeffd86e000604b330,,,5eb0e4b9b6c3bb0006eeb1e9
Dragon 1.0,5eb87cdfffd86e000604b331,United States,SpaceX,5eb0e4bab6c3bb0006eeb1ea
Dragon 1.0,5eb87ce0ffd86e000604b332,United States,SpaceX,5eb0e4bab6c3bb0006eeb1eb
Dragon 1.0,5eb87ce0ffd86e000604b332,,,5eb0e4bab6c3bb0006eeb1ec
Dragon 1.0,5eb87ce1ffd86e000604b333,United States,SpaceX,5eb0e4bbb6c3bb0006eeb1ed
Satellite,5eb87ce1ffd86e000604b334,Canada,MDA,5eb0e4bbb6c3bb0006eeb1ee
Satellite,5eb87ce2ffd86e000604b335,Luxembourg,Orbital ATK,5eb0e4bbb6c3bb0006eeb1ef
Satellite,5eb87ce3ffd86e000604b336,Thailand,Orbital ATK,5eb0e4bbb6c3bb0006eeb1f0
Dragon 1.1,5eb87ce4ffd86e000604b337,United States,SpaceX,5eb0e4bbb6c3bb0006eeb1f1
Satellite,5eb87ce4ffd86e000604b338,United States,Boeing,5eb0e4bcb6c3bb0006eeb1f2
Satellite,5eb87ce5ffd86e000604b339,Hong Kong,SSL,5eb0e4bcb6c3bb0006eeb1f3
